RESPID,GENDER,AGE,WORKING,REGION,MUSIC,LIST_OWN,LIST_BACK,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
2350,Female,63,Retired from full-time employment (30+ hours per week),North,Music is no longer as important as it used to be to me,0 Hours,Less than an hour,1,50,1,1,1,49,2,1,2,2,1,2,1,1,1,1,1,2,1
2351,Female,28,Employed 30+ hours a week,North,I like music but it does not feature heavily in my life,Less than an hour,2 hours,26,46,27,67,7,51,48,31,70,29,68,70,55,51,7,31,67,31,28
2352,Female,55,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,,,49,50,32,31,31,30,31,31,46,28,69,68,45,47,30,50,70,50,28
2353,Male,39,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,Less than an hour,0 Hours,75,71,71,49,48,8,49,47,47,48,49,66,29,51,53,51,53,52,53
2354,Female,50,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,2 hours,5 hours,69,52,67,68,66,9,10,10,87,100,60,60,48,48,12,46,57,51,53
2355,Female,23,Full-time student,Midlands,Music means a lot to me and is a passion of mine,2 hours,2 hours,100,69,73,8,51,9,62,52,56,68,32,10,75,76,76,67,58,87,57
2356,Female,43,Employed 8-29 hours per week,North,I like music but it does not feature heavily in my life,2 hours,15 hours,31,50,51,31,49,49,30,30,48,68,67,66,48,29,29,29,49,32,31
2357,Female,62,Retired from self-employment,Midlands,I like music but it does not feature heavily in my life,Less than an hour,0 Hours,9,51,29,8,28,11,11,11,67,12,26,14,13,13,9,8,9,8,9
2358,Female,13,Full-time student,Midlands,I like music but it does not feature heavily in my life,2 hours,8 hours,52,50,73,50,25,51,51,29,2,30,100,67,49,71,40,49,50,72,51
2359,Female,55,Employed 8-29 hours per week,North,Music is important to me but not necessarily more important,1 hour,Less than an hour,29,28,50,66,29,31,50,31,71,71,72,70,28,49,30,28,69,49,32
2360,Male,54,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,0 Hours,1 hour,9,10,10,10,9,48,7,6,91,8,51,10,11,30,10,10,9,9,9
2361,Female,45,Other,North,Music means a lot to me and is a passion of mine,1 hour,2 hours,28,32,30,63,32,32,3,3,26,68,61,30,30,31,30,31,70,29,27
2362,Male,59,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,0 Hours,2 hours,48,51,48,29,31,48,31,32,48,50,68,35,50,50,29,31,51,49,49
2363,Female,14,Full-time student,South,Music is important to me but not necessarily more important,3 hours,2 hours,69,49,65,49,67,29,6,6,50,46,67,89,65,65,8,25,92,70,50
2364,Male,37,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,1 hour,1 hour,56,72,63,25,24,33,29,43,27,65,44,66,60,70,48,28,56,43,30
2365,Female,14,Full-time student,South,Music means a lot to me and is a passion of mine,2 hours,4 hours,90,82,85,11,5,60,6,8,4,83,83,79,71,75,85,78,78,87,91
2366,Female,21,Temporarily unemployed,North,Music means a lot to me and is a passion of mine,2 hours,1 hour,61,66,87,26,50,43,49,54,60,69,75,77,52,43,67,28,62,56,62
2367,Male,,In unpaid employment (e.g. voluntary work),Midlands,Music means a lot to me and is a passion of mine,,,71,57,51,11,51,53,28,30,50,9,50,51,51,52,55,48,48,48,9
2368,Male,13,Other,North,Music is important to me but not necessarily more important,2 hours,3 hours,36,71,71,54,51,77,9,50,8,7,76,11,91,50,50,10,50,72,15
2369,Female,54,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,2 hours,6 hours,74,92,76,30,33,31,10,11,92,46,90,91,49,50,51,29,66,52,54
2370,Male,54,Retired from full-time employment (30+ hours per week),Midlands,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,3,45,38,26,50,4,3,2,52,5,80,47,2,49,1,2,2,3,3
2371,Male,42,Employed 30+ hours a week,Midlands,Music means a lot to me and is a passion of mine,4 hours,8 hours,46,78,82,57,76,36,58,62,86,49,68,100,51,93,18,32,56,47,64
2372,Female,32,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,Less than an hour,1 hour,35,37,56,37,37,49,52,33,49,44,54,45,70,56,28,48,42,29,33
2373,Female,59,Temporarily unemployed,North,I like music but it does not feature heavily in my life,Less than an hour,1 hour,10,69,30,10,12,92,51,32,68,47,85,66,9,41,7,10,8,8,8
2374,Female,56,Employed 8-29 hours per week,North,I like music but it does not feature heavily in my life,0 Hours,0 Hours,3,3,3,2,2,76,5,4,74,7,9,5,6,5,4,3,3,5,3
2375,Male,50,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,1 hour,Less than an hour,26,28,95,11,11,11,14,13,77,97,53,75,12,48,8,69,69,52,28
2376,Female,23,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,2 hours,3 hours,33,72,58,36,36,13,18,18,35,74,59,37,50,50,35,24,67,67,50
2377,Female,14,Full-time housewife / househusband,South,Music means a lot to me and is a passion of mine,Less than an hour,4 hours,73,97,74,47,48,70,71,71,94,71,71,96,68,87,49,32,72,73,32
2378,Female,13,Full-time student,Northern Ireland,Music is important to me but not necessarily more important,2 hours,2 hours,15,48,33,72,49,75,7,8,9,49,87,92,67,67,51,65,31,33,53
2379,Male,47,Self-employed,North,Music means a lot to me and is a passion of mine,2 hours,8 hours,67,69,76,6,29,10,9,9,28,93,71,51,9,29,55,70,31,32,49
2380,Female,22,Temporarily unemployed,North,Music is important to me but not necessarily more important,Less than an hour,0 Hours,6,29,59,75,100,51,2,2,47,24,60,61,52,42,34,52,68,36,6
2381,Female,30,Employed 8-29 hours per week,North,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,25,58,13,64,3,7,5,2,10,20,60,80,84,53,48,48,70,26,28
2382,Female,49,Employed 30+ hours a week,North,Music has no particular interest for me,,,9,8,8,8,8,8,7,6,6,7,7,9,9,11,10,9,8,8,9
2383,Female,14,Full-time student,Midlands,I like music but it does not feature heavily in my life,1 hour,1 hour,65,52,42,25,29,10,23,11,17,3,72,66,5,54,35,13,57,17,29
2384,Female,30,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,Less than an hour,2 hours,7,32,64,58,66,73,36,32,72,15,73,59,10,36,49,3,34,34,13
2385,Male,46,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,4 hours,5 hours,46,55,46,56,79,41,24,25,71,41,68,67,67,70,34,51,51,40,41
2386,Male,63,Retired from full-time employment (30+ hours per week),North,Music is important to me but not necessarily more important,3 hours,1 hour,67,70,70,28,26,8,47,44,42,63,68,67,45,67,49,24,24,24,23
2387,Male,47,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,7 hours,14 hours,52,71,51,31,52,32,33,33,51,51,51,29,29,29,47,30,29,30,31
2388,Female,15,Full-time student,Midlands,Music is important to me but not necessarily more important,3 hours,5 hours,95,83,86,85,86,87,90,66,86,68,90,92,90,74,95,90,85,95,91
2389,Male,57,Employed 30+ hours a week,North,Music has no particular interest for me,1 hour,1 hour,54,55,47,49,48,49,50,51,51,51,50,51,49,50,52,51,51,52,53
2390,Male,53,Temporarily unemployed,Midlands,I like music but it does not feature heavily in my life,1 hour,4 hours,10,26,10,9,29,30,12,11,10,11,12,12,12,49,10,11,32,12,9
2391,Female,15,Full-time student,South,Music means a lot to me and is a passion of mine,3 hours,3 hours,93,94,94,33,33,34,29,29,9,30,70,49,76,76,76,30,71,70,51
2392,Male,23,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,2 hours,1 hour,89,91,88,10,11,10,12,16,11,92,93,90,72,77,77,8,57,70,86
2393,Male,41,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,,,53,9,52,32,17,27,18,16,15,18,67,69,10,17,20,15,12,23,7
2394,Male,26,Full-time housewife / househusband,Midlands,Music means a lot to me and is a passion of mine,1 hour,5 hours,68,68,69,62,6,5,59,5,4,70,7,7,94,70,69,91,91,62,49
2395,Male,38,Other,North,Music is important to me but not necessarily more important,1 hour,4 hours,51,67,50,29,30,14,6,6,36,72,50,51,38,49,65,48,33,31,50
2396,Male,58,Other,North,I like music but it does not feature heavily in my life,0 Hours,3 hours,6,5,4,4,5,63,6,7,62,22,20,21,4,4,6,7,8,7,6
2397,Male,21,Employed 8-29 hours per week,North,Music means a lot to me and is a passion of mine,4 hours,0 Hours,94,50,72,49,67,52,50,20,12,64,46,62,48,71,63,26,41,72,87
2398,Female,58,Employed 8-29 hours per week,Midlands,Music means a lot to me and is a passion of mine,2 hours,3 hours,99,97,100,85,88,4,94,85,86,87,86,68,81,78,74,86,99,98,100
2399,Male,43,Employed 30+ hours a week,South,Music means a lot to me and is a passion of mine,2 hours,2 hours,77,80,88,70,70,32,22,22,12,78,57,97,96,84,28,22,75,80,20
2400,Male,22,Prefer not to state,Midlands,I like music but it does not feature heavily in my life,,2 hours,29,29,29,30,31,49,49,50,29,31,48,49,33,49,31,31,31,30,29
2401,Male,14,Full-time student,South,Music is important to me but not necessarily more important,0 Hours,2 hours,67,68,67,30,31,53,31,31,31,30,28,31,32,68,9,8,93,9,9
2402,Male,14,Employed 8-29 hours per week,Midlands,Music means a lot to me and is a passion of mine,,,33,79,39,36,38,55,42,62,49,29,70,52,52,48,57,62,30,9,37
2403,Female,24,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,3 hours,2 hours,56,55,66,65,50,8,24,20,62,49,41,49,69,38,58,51,61,41,46
2404,Male,22,Employed 8-29 hours per week,North,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,65,78,73,17,9,8,8,2,23,51,51,8,71,63,15,2,18,49,49
2405,Male,55,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,1 hour,1 hour,90,68,70,47,48,32,6,7,51,49,7,7,7,48,26,48,75,50,30
2406,Female,54,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,4 hours,16+ hours,33,42,43,57,38,38,6,6,62,70,70,71,33,61,42,60,67,52,54
2407,Female,43,Employed 8-29 hours per week,South,Music is important to me but not necessarily more important,0 Hours,Less than an hour,50,69,50,29,28,52,28,28,52,28,74,75,49,49,32,32,71,49,50
2408,Female,25,Employed 8-29 hours per week,North,Music means a lot to me and is a passion of mine,2 hours,2 hours,68,69,94,31,10,48,48,48,67,49,95,97,70,90,68,49,49,50,51
2409,Female,28,Other,North,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,51,51,33,55,65,30,31,33,51,51,58,60,59,58,59,30,53,33,51
2410,Male,18,Part-time student,North,I like music but it does not feature heavily in my life,,,29,100,8,8,8,7,7,9,49,8,69,49,8,48,8,8,8,49,29
2411,Male,39,Employed 30+ hours a week,South,Music is important to me but not necessarily more important,16+ hours,7 hours,29,50,50,49,33,50,15,29,51,52,70,49,31,49,32,32,31,29,28
2412,Male,22,Employed 30+ hours a week,Midlands,Music means a lot to me and is a passion of mine,1 hour,1 hour,93,74,95,30,29,11,10,28,6,71,71,49,69,89,53,31,24,73,89
2413,Female,28,Employed 8-29 hours per week,North,Music means a lot to me and is a passion of mine,1 hour,1 hour,14,10,17,15,9,0,76,6,22,9,68,64,12,36,6,6,23,13,9
2414,Male,51,Full-time housewife / househusband,Midlands,Music means a lot to me and is a passion of mine,16+ hours,Less than an hour,100,64,86,6,66,3,2,2,69,100,44,100,70,50,100,3,67,29,100
2415,Male,56,Retired from full-time employment (30+ hours per week),North,Music is no longer as important as it used to be to me,0 Hours,,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2416,Female,60,Retired from full-time employment (30+ hours per week),Midlands,Music is important to me but not necessarily more important,1 hour,1 hour,4,3,4,4,4,83,14,14,93,5,9,3,5,3,5,4,17,4,10
2417,Male,40,Employed 30+ hours a week,Midlands,Music has no particular interest for me,0 Hours,2 hours,2,2,2,2,2,20,2,2,63,2,26,3,2,2,2,2,13,2,3
2418,Male,43,Employed 30+ hours a week,South,Music is important to me but not necessarily more important,2 hours,12 hours,64,75,70,28,26,8,11,33,50,58,67,95,88,96,83,93,69,51,53
2419,Male,52,Employed 30+ hours a week,South,Music means a lot to me and is a passion of mine,2 hours,3 hours,25,25,25,97,49,30,8,10,75,75,78,80,80,51,20,11,68,12,33
2420,Female,52,Other,South,Music means a lot to me and is a passion of mine,,,96,98,97,24,12,10,11,11,68,91,69,97,71,73,73,50,98,49,69
2421,Male,61,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,Less than an hour,,4,50,4,48,47,32,8,6,29,31,31,31,47,31,7,5,33,4,3
2422,Female,55,Full-time housewife / househusband,Midlands,Music is important to me but not necessarily more important,1 hour,3 hours,64,36,37,36,68,50,51,30,93,59,69,69,53,57,45,30,66,50,31
2423,Female,,Retired from full-time employment (30+ hours per week),South,I like music but it does not feature heavily in my life,1 hour,4 hours,27,26,27,50,23,25,29,7,29,49,48,48,48,48,5,29,28,27,26
2424,Male,58,Retired from full-time employment (30+ hours per week),Midlands,Music has no particular interest for me,0 Hours,0 Hours,5,7,7,6,6,100,4,5,91,6,6,7,7,7,7,6,5,7,7
2425,Female,15,Full-time student,Midlands,Music means a lot to me and is a passion of mine,2 hours,1 hour,49,71,69,29,28,30,9,10,29,69,48,49,71,71,33,48,47,48,48
2426,Female,14,Full-time student,South,Music means a lot to me and is a passion of mine,2 hours,4 hours,73,52,75,52,12,50,8,7,8,68,100,70,71,71,9,48,96,72,51
2427,Male,62,Retired from full-time employment (30+ hours per week),North,Music has no particular interest for me,0 Hours,0 Hours,11,52,13,13,50,16,8,66,97,67,31,33,10,34,8,10,65,11,12
2428,Female,13,Full-time student,South,Music is important to me but not necessarily more important,1 hour,3 hours,33,35,29,30,30,87,45,17,33,32,71,74,73,39,59,16,23,24,17
2429,Male,30,Employed 8-29 hours per week,North,Music means a lot to me and is a passion of mine,6 hours,Less than an hour,98,89,87,9,9,10,23,23,11,90,91,55,83,100,52,87,76,68,77
2430,Female,60,Full-time housewife / househusband,North,I like music but it does not feature heavily in my life,Less than an hour,3 hours,54,44,26,66,31,9,52,32,33,51,71,52,49,47,12,30,73,13,11
2431,Male,30,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,3 hours,6 hours,72,74,73,50,28,52,27,28,28,69,69,27,50,70,72,48,50,48,48
2432,Male,46,Employed 30+ hours a week,South,I like music but it does not feature heavily in my life,0 Hours,0 Hours,4,4,7,8,6,4,2,5,69,49,71,65,84,86,5,7,8,6,4
2433,Female,35,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,Less than an hour,1 hour,48,48,49,28,29,30,68,9,49,49,69,69,32,29,8,48,69,48,48
2434,Male,61,Employed 30+ hours a week,North,I like music but it does not feature heavily in my life,Less than an hour,5 hours,8,33,26,7,7,27,4,5,96,21,6,8,5,29,3,28,6,7,6
2435,Female,59,Full-time housewife / househusband,North,I like music but it does not feature heavily in my life,,,13,11,13,32,49,67,69,23,88,23,55,41,12,23,8,10,20,18,11
2436,Male,61,Self-employed,Midlands,Music means a lot to me and is a passion of mine,,,63,52,53,5,54,32,5,8,11,53,54,51,31,53,52,32,52,53,53
2437,Male,24,Full-time student,North,I like music but it does not feature heavily in my life,12 hours,5 hours,2,1,1,100,2,62,1,2,100,17,1,1,61,61,1,2,2,2,2
2438,Female,15,Employed 30+ hours a week,South,Music means a lot to me and is a passion of mine,1 hour,4 hours,67,68,52,32,33,33,31,32,32,14,69,49,50,51,6,7,71,50,51
2439,Female,51,Employed 8-29 hours per week,Midlands,I like music but it does not feature heavily in my life,,,49,48,33,49,34,48,49,49,68,48,48,32,48,49,31,31,47,31,8
2440,Male,49,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,4 hours,6 hours,72,57,82,50,34,32,12,61,78,41,71,78,50,69,48,31,69,49,49
2441,Female,59,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,1 hour,2 hours,33,32,34,65,29,10,10,9,53,53,30,47,11,29,30,29,89,30,32
2442,Male,26,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,1 hour,5 hours,68,69,69,69,45,72,31,34,72,68,100,75,50,76,19,71,71,72,70
2443,Female,30,Full-time housewife / househusband,North,Music means a lot to me and is a passion of mine,3 hours,4 hours,92,71,90,32,30,31,54,31,12,92,71,54,71,74,49,77,69,71,71
2444,Female,54,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,1 hour,8 hours,63,62,64,45,58,95,100,67,42,54,86,67,47,47,48,58,62,57,45
2445,Female,61,Retired from full-time employment (30+ hours per week),North,I like music but it does not feature heavily in my life,1 hour,1 hour,69,70,48,27,27,27,47,26,48,68,69,69,69,69,49,27,69,27,27
2446,Female,15,Full-time student,Midlands,Music means a lot to me and is a passion of mine,4 hours,,28,72,75,42,26,63,60,49,10,50,72,66,62,62,48,30,66,48,45
2447,Female,55,Full-time housewife / househusband,Midlands,Music is no longer as important as it used to be to me,Less than an hour,Less than an hour,6,8,6,5,7,93,5,29,71,47,30,26,14,9,6,4,48,5,3
2448,Female,14,Full-time student,South,Music is important to me but not necessarily more important,5 hours,3 hours,71,59,76,25,9,23,70,7,11,68,69,78,75,70,58,61,69,46,60
2449,Female,29,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,55,28,28,47,47,27,67,52,73,59,65,65,33,43,28,15,59,51,66
2450,Female,47,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,Less than an hour,2 hours,11,28,7,10,10,51,8,11,73,53,54,27,27,52,11,10,9,13,10
2451,Female,,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,30,51,31,50,49,49,11,11,65,51,65,64,30,51,10,13,48,31,13
2452,Female,57,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,11,49,13,13,14,15,14,9,9,11,11,11,10,13,14,13,71,12,13
2453,Male,25,Self-employed,South,Music means a lot to me and is a passion of mine,2 hours,6 hours,81,80,83,12,46,24,3,3,100,100,4,1,6,100,69,21,43,9,10
2454,Male,41,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,0 Hours,2 hours,7,29,13,7,49,31,36,24,69,33,49,30,25,14,8,3,7,5,4
2455,Female,58,Employed 30+ hours a week,South,Music is important to me but not necessarily more important,8 hours,16+ hours,26,13,46,67,31,11,11,46,46,45,49,66,34,47,25,5,8,8,10
2456,Female,34,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,2 hours,2 hours,69,69,68,50,52,32,30,29,31,71,58,56,70,69,67,48,69,69,69
2457,Female,55,Temporarily unemployed,North,Music is important to me but not necessarily more important,2 hours,2 hours,62,65,71,63,37,37,64,63,50,50,70,75,69,70,39,48,66,32,43
2458,Female,29,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,Less than an hour,Less than an hour,95,68,68,49,49,10,68,50,31,70,33,4,49,68,92,69,69,68,54
2459,Female,39,Full-time housewife / househusband,North,Music is important to me but not necessarily more important,2 hours,4 hours,10,13,22,69,69,20,6,11,85,62,6,6,7,14,36,33,15,15,13
2460,Male,48,Full-time housewife / househusband,North,I like music but it does not feature heavily in my life,Less than an hour,2 hours,53,54,51,51,52,52,51,52,52,53,52,48,50,50,50,51,51,52,53
2461,Female,45,Employed 30+ hours a week,South,Music is important to me but not necessarily more important,2 hours,16+ hours,33,35,53,50,53,53,69,68,51,73,85,84,54,48,37,48,50,52,55
2462,Male,54,Temporarily unemployed,Midlands,Music has no particular interest for me,Less than an hour,Less than an hour,12,13,14,13,30,11,33,10,94,50,26,27,27,29,8,11,11,12,11
2463,Female,60,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,0 Hours,1 hour,44,45,27,45,29,73,84,30,30,8,70,53,22,48,10,10,48,11,16
2464,Female,42,Employed 8-29 hours per week,South,Music means a lot to me and is a passion of mine,2 hours,6 hours,72,48,48,49,49,29,29,2,49,70,70,70,70,48,49,47,70,47,47
2465,Female,56,Other,Midlands,Music is important to me but not necessarily more important,1 hour,2 hours,9,50,10,28,6,26,7,7,73,49,71,48,32,30,11,9,68,9,9
2466,Male,31,Other,North,I like music but it does not feature heavily in my life,,,70,69,67,3,2,3,4,4,47,72,4,4,46,73,2,2,3,6,7
2467,Female,55,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,10 hours,12 hours,76,75,56,33,6,69,49,71,32,50,75,75,77,77,53,28,72,54,55
2468,Male,43,Employed 30+ hours a week,North,Music has no particular interest for me,Less than an hour,Less than an hour,47,55,36,65,42,66,54,75,87,23,56,61,52,64,62,61,40,49,57
2469,Male,55,Self-employed,Midlands,Music is important to me but not necessarily more important,Less than an hour,4 hours,9,67,31,32,32,50,25,5,27,52,50,50,50,29,7,9,9,9,9
2470,Female,48,Self-employed,Midlands,I like music but it does not feature heavily in my life,Less than an hour,6 hours,13,13,13,46,24,22,10,10,74,43,68,71,16,14,14,29,15,14,13
2471,Male,20,Full-time student,South,Music means a lot to me and is a passion of mine,6 hours,3 hours,93,100,92,8,7,8,49,50,9,91,72,52,53,92,89,4,91,91,49
2472,Male,37,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,5 hours,3 hours,69,66,80,77,78,8,51,58,7,91,88,71,75,78,82,76,74,78,88
2473,Female,47,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,1 hour,Less than an hour,64,81,53,29,11,13,16,14,52,73,65,49,65,53,55,67,76,56,48
2474,Male,39,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,10 hours,2 hours,88,70,70,51,10,9,10,9,9,68,9,86,86,68,68,68,89,50,51
2475,Female,58,Full-time housewife / househusband,Midlands,I like music but it does not feature heavily in my life,1 hour,1 hour,2,2,22,22,6,6,2,3,77,17,35,2,18,63,4,1,1,1,2
2476,Female,45,Full-time housewife / househusband,North,Music is important to me but not necessarily more important,1 hour,Less than an hour,28,48,30,30,52,32,32,35,80,82,67,68,49,32,30,31,51,49,30
2477,Female,21,Part-time student,South,Music is important to me but not necessarily more important,2 hours,2 hours,67,65,60,59,28,20,50,48,53,26,41,48,18,68,28,15,66,37,33
2478,Male,20,Full-time student,North,Music is important to me but not necessarily more important,6 hours,1 hour,62,55,64,65,64,55,52,40,52,51,58,59,60,60,50,51,62,51,62
2479,Female,42,Part-time student,Midlands,Music means a lot to me and is a passion of mine,16+ hours,Less than an hour,55,72,47,7,10,11,11,6,48,79,11,4,67,33,71,64,48,47,57
2480,Female,55,Employed 8-29 hours per week,Midlands,Music is important to me but not necessarily more important,2 hours,3 hours,72,51,72,51,51,9,48,49,68,49,71,49,50,51,52,51,71,51,52
2481,Female,37,Other,North,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,54,51,67,50,65,75,81,54,30,69,67,67,68,70,72,70,67,68,71
2482,Female,29,Employed 30+ hours a week,South,I like music but it does not feature heavily in my life,Less than an hour,7 hours,9,28,29,50,29,29,49,49,49,49,68,69,50,30,30,9,9,9,10
2483,Male,61,Retired from full-time employment (30+ hours per week),North,Music is important to me but not necessarily more important,1 hour,4 hours,69,92,52,6,6,10,10,9,90,53,30,30,30,71,11,47,31,7,7
2484,Female,50,Other,South,I like music but it does not feature heavily in my life,Less than an hour,1 hour,10,24,9,70,30,9,10,9,29,10,89,71,51,52,8,8,91,8,10
2485,Female,44,Employed 30+ hours a week,North,I like music but it does not feature heavily in my life,Less than an hour,1 hour,55,49,42,45,45,33,16,14,63,50,62,52,51,45,16,26,27,30,30
2486,Male,57,Employed 8-29 hours per week,North,Music is important to me but not necessarily more important,Less than an hour,2 hours,8,50,7,7,6,10,29,11,70,92,50,51,70,71,8,6,49,3,7
2487,Female,59,Employed 8-29 hours per week,North,Music is important to me but not necessarily more important,1 hour,3 hours,49,47,48,45,49,49,49,48,48,49,49,50,49,47,32,50,51,35,50
2488,Female,62,Retired from full-time employment (30+ hours per week),Midlands,Music is important to me but not necessarily more important,2 hours,0 Hours,14,96,52,9,10,10,29,11,97,51,95,29,12,12,14,14,48,14,14
2489,Male,47,Employed 30+ hours a week,South,Music is important to me but not necessarily more important,3 hours,3 hours,15,49,46,27,26,59,38,38,52,74,74,46,55,60,8,10,23,27,21
2490,Female,35,Employed 8-29 hours per week,North,Music is important to me but not necessarily more important,2 hours,8 hours,28,31,31,21,65,24,48,72,29,30,17,7,45,31,12,27,28,59,12
2491,Female,42,Full-time housewife / househusband,South,Music is important to me but not necessarily more important,3 hours,10 hours,23,45,24,45,47,8,42,30,44,42,45,45,46,46,43,5,48,44,43
2492,Male,62,Retired from full-time employment (30+ hours per week),North,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,49,31,50,49,49,5,31,4,71,50,51,50,50,62,22,50,49,15,6
2493,Male,37,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,2 hours,1 hour,52,26,53,53,67,49,34,34,52,52,52,53,52,53,49,30,51,52,52
2494,Male,59,Retired from full-time employment (30+ hours per week),North,I like music but it does not feature heavily in my life,,4 hours,10,51,9,11,10,49,10,11,92,50,49,51,10,51,13,8,51,10,7
2495,Male,50,Retired from full-time employment (30+ hours per week),North,I like music but it does not feature heavily in my life,Less than an hour,Less than an hour,24,49,10,28,8,30,8,9,9,30,70,50,14,38,7,10,79,9,8
2496,Male,25,Employed 30+ hours a week,North,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,58,20,28,31,41,26,19,2,18,45,65,74,42,37,50,30,14,29,31
2497,Female,61,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,Less than an hour,6 hours,7,8,9,3,11,70,50,25,48,7,47,49,45,11,4,8,9,8,6
2498,Male,18,Full-time student,Midlands,Music means a lot to me and is a passion of mine,6 hours,3 hours,76,29,29,6,2,52,52,52,53,100,3,2,49,71,50,71,71,72,72
2499,Female,24,Employed 30+ hours a week,Midlands,Music means a lot to me and is a passion of mine,3 hours,2 hours,79,86,88,88,79,68,68,67,64,65,67,81,70,60,72,48,70,87,91
2500,Male,40,Employed 30+ hours a week,North,Music means a lot to me and is a passion of mine,2 hours,5 hours,70,30,70,68,28,57,10,8,52,73,8,10,12,67,27,9,11,11,16
2501,Female,41,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,2 hours,3 hours,45,45,51,49,50,33,47,48,67,49,48,49,48,49,31,47,46,47,46
2502,Male,28,Employed 30+ hours a week,Midlands,I like music but it does not feature heavily in my life,Less than an hour,1 hour,9,92,29,12,12,49,8,8,53,15,71,8,8,10,8,10,11,10,10
2503,Female,54,Employed 30+ hours a week,Midlands,Music is important to me but not necessarily more important,Less than an hour,Less than an hour,17,51,51,28,7,16,16,11,32,58,68,69,11,12,14,15,63,22,17
2504,Female,63,Retired from full-time employment (30+ hours per week),Midlands,I like music but it does not feature heavily in my life,1 hour,Less than an hour,11,11,10,11,29,46,60,46,65,45,66,61,47,48,10,11,49,4,4
2505,Female,22,In unpaid employment (e.g. voluntary work),Midlands,Music means a lot to me and is a passion of mine,3 hours,5 hours,75,77,78,10,13,63,53,27,76,100,74,79,58,79,87,90,69,52,74
2506,Male,20,Full-time student,Midlands,Music is important to me but not necessarily more important,2 hours,4 hours,57,47,53,35,34,56,50,51,75,76,76,73,65,76,56,50,51,38,38
2507,Female,53,Other,North,Music means a lot to me and is a passion of mine,6 hours,2 hours,73,73,74,50,49,71,31,31,51,72,96,98,96,100,78,53,52,52,53
2508,Male,44,Self-employed,Midlands,Music is important to me but not necessarily more important,Less than an hour,4 hours,36,53,44,49,52,42,31,32,54,42,56,42,45,58,46,46,50,32,32
2509,Female,44,Employed part-time less than 8 hours per week,Midlands,Music is no longer as important as it used to be to me,0 Hours,0 Hours,32,32,30,32,29,69,69,69,70,50,54,54,8,29,30,30,31,30,31
